filename,tumor_type,split
Tr-pi_0505.jpg,pituitary,train,train/pituitary/Tr-pi_0505.jpg
Tr-pi_0263.jpg,pituitary,train,train/pituitary/Tr-pi_0263.jpg
P_712_RO_.jpg,pituitary,train,train/pituitary/P_712_RO_.jpg
Tr-pi_0277.jpg,pituitary,train,train/pituitary/Tr-pi_0277.jpg
Tr-pi_1169.jpg,pituitary,train,train/pituitary/Tr-pi_1169.jpg
Tr-pi_0511.jpg,pituitary,train,train/pituitary/Tr-pi_0511.jpg
Tr-pi_0539.jpg,pituitary,train,train/pituitary/Tr-pi_0539.jpg
P_823_SP_.jpg,pituitary,train,train/pituitary/P_823_SP_.jpg
Tr-pi_1141.jpg,pituitary,train,train/pituitary/Tr-pi_1141.jpg
Tr-pi_1155.jpg,pituitary,train,train/pituitary/Tr-pi_1155.jpg
p (498).jpg,pituitary,train,train/pituitary/p (498).jpg
p (532).jpg,pituitary,train,train/pituitary/p (532).jpg
P_833_SP_.jpg,pituitary,train,train/pituitary/P_833_SP_.jpg
P_798_HF_.jpg,pituitary,train,train/pituitary/P_798_HF_.jpg
P_788_HF_.jpg,pituitary,train,train/pituitary/P_788_HF_.jpg
P_803.jpg,pituitary,train,train/pituitary/P_803.jpg
Tr-pi_1182.jpg,pituitary,train,train/pituitary/Tr-pi_1182.jpg
Tr-pi_1196.jpg,pituitary,train,train/pituitary/Tr-pi_1196.jpg
Tr-pi_0288.jpg,pituitary,train,train/pituitary/Tr-pi_0288.jpg
P_844_HF_.jpg,pituitary,train,train/pituitary/P_844_HF_.jpg
P_817.jpg,pituitary,train,train/pituitary/P_817.jpg
Tr-pi_0707.jpg,pituitary,train,train/pituitary/Tr-pi_0707.jpg
P_721_HF_.jpg,pituitary,train,train/pituitary/P_721_HF_.jpg
1179.jpg,pituitary,train,train/pituitary/1179.jpg
Tr-pi_0713.jpg,pituitary,train,train/pituitary/Tr-pi_0713.jpg
P_731_HF_.jpg,pituitary,train,train/pituitary/P_731_HF_.jpg
Tr-pi_1343.jpg,pituitary,train,train/pituitary/Tr-pi_1343.jpg
p (565).jpg,pituitary,train,train/pituitary/p (565).jpg
Tr-pi_1357.jpg,pituitary,train,train/pituitary/Tr-pi_1357.jpg
Tr-pi_0049.jpg,pituitary,train,train/pituitary/Tr-pi_0049.jpg
P_756_SP_.jpg,pituitary,train,train/pituitary/P_756_SP_.jpg
